Year,Name,Position,School,Stats,Unaminous,ID
2010,Cam Newton*,QB,Auburn,185 Cmp 280 Att 2854 Yds 30 TD 7 Int,No,cam-newton-1
2010,Kendall Hunter*,RB,Oklahoma State,271 Att 1548 Yds 5.7 Avg 16 TD,No,kendall-hunter-1
2010,LaMichael James*,RB,Oregon,294 Att 1731 Yds 5.9 Avg 21 TD,Yes,lamichael-james-1
2010,Justin Blackmon*,WR,Oklahoma State,111 Rec 1782 Yds 16.1 Avg 20 TD,Yes,justin-blackmon-1
2010,Ryan Broyles*,WR,Oklahoma,131 Rec 1622 Yds 12.4 Avg 14 TD,No,ryan-broyles-1
2010,Michael Egnew*,TE,Missouri,90 Rec 762 Yds 8.5 Avg 5 TD,No,michael-egnew-1
2010,Lance Kendricks*,TE,Wisconsin,43 Rec 663 Yds 15.4 Avg 5 TD,No,lance-kendricks-1
2010,Chase Beeler*,OL,Stanford,,No,chase-beeler-1
2010,Gabe Carimi*,OL,Wisconsin,,Yes,gabe-carimi-1
2010,Rodney Hudson*,OL,Florida State,,Yes,rodney-hudson-1
2010,Nate Solder,OL,Colorado,,No,nate-solder-1
2010,Lee Ziemba*,OL,Auburn,,No,lee-ziemba-1
2010,Josh Jasper*,K,LSU,36 XPM 37 XPA 28 FGM 34 FGA 120 Pts,No,josh-jasper-1
2010,Eric Page*,AP,Toledo,99 Rec 1105 Yds 11.2 Avg 8 TD,No,eric-page-1
2010,Cliff Harris*,AP,Oregon,,No,cliff-harris-1
2010,Da'Quan Bowers*,DL,Clemson,41 Solo 26 Ast 15.5 Sk 1 Int,Yes,daquan-bowers-1
2010,Adrian Clayborn*,DL,Iowa,19 Solo 33 Ast 3.5 Sk 0 Int,No,adrian-clayborn-1
2010,Nick Fairley*,DL,Auburn,36 Solo 24 Ast 11.5 Sk 1 Int,No,nick-fairley-1
2010,Ryan Kerrigan,DL,Purdue,50 Solo 20 Ast 12.5 Sk 0 Int,Yes,ryan-kerrigan-1
2010,Stephen Paea,DL,Oregon State,20 Solo 25 Ast 6.0 Sk,No,stephen-paea-1
2010,Greg Jones*,LB,Michigan State,49 Solo 57 Ast 1.0 Sk 2 Int,Yes,greg-jones-2
2010,Luke Kuechly*,LB,Boston College,110 Solo 73 Ast 1.5 Sk 3 Int,Yes,luke-kuechly-1
2010,Von Miller*,LB,Texas A&M,38 Solo 30 Ast 10.5 Sk 1 Int,No,von-miller-1
2010,Prince Amukamara*,DB,Nebraska,36 Solo 23 Ast 1.0 Sk 0 Int,Yes,prince-amukamara-1
2010,Quinton Carter*,DB,Oklahoma,59 Solo 37 Ast 0.0 Sk 4 Int,No,quinton-carter-1
2010,Tejay Johnson*,DB,TCU,40 Solo 26 Ast 0.0 Sk 3 Int,No,tejay-johnson-1
2010,Patrick Peterson*,DB,LSU,29 Solo 13 Ast 0.0 Sk 4 Int,Yes,patrick-peterson-1
2010,Chas Henry*,P,Florida,50 Punts 2253 Yds 45.1 Avg,No,chas-henry-1
2011,Robert Griffin III*,QB,Baylor,291 Cmp 402 Att 4293 Yds 37 TD 6 Int,No,robert-griffin-iii-1
2011,Montee Ball*,RB,Wisconsin,307 Att 1923 Yds 6.3 Avg 33 TD,No,montee-ball-1
2011,Trent Richardson*,RB,Alabama,283 Att 1679 Yds 5.9 Avg 21 TD,Yes,trent-richardson-1
2011,Justin Blackmon*,WR,Oklahoma State,122 Rec 1522 Yds 12.5 Avg 18 TD,Yes,justin-blackmon-1
2011,Ryan Broyles*,WR,Oklahoma,83 Rec 1157 Yds 13.9 Avg 10 TD,No,ryan-broyles-1
2011,Robert Woods,WR,USC,111 Rec 1292 Yds 11.6 Avg 15 TD,No,robert-woods-1
2011,Dwayne Allen*,TE,Clemson,50 Rec 598 Yds 12.0 Avg 8 TD,No,dwayne-allen-1
2011,Levy Adcock*,OL,Oklahoma State,,No,levy-adcock-1
2011,David DeCastro*,OL,Stanford,,Yes,david-decastro-1
2011,Barrett Jones*,OL,Alabama,,Yes,barrett-jones-1
2011,David Molk*,OL,Michigan,,No,david-molk-1
2011,Nate Potter*,OL,Boise State,,No,nate-potter-1
2011,Randy Bullock*,K,Texas A&M,55 XPM 57 XPA 29 FGM 33 FGA 142 Pts,No,randy-bullock-1
2011,Joe Adams*,AP,Arkansas,54 Rec 652 Yds 12.1 Avg 3 TD,No,joe-adams-1
2011,Melvin Ingram*,DL,South Carolina,31 Solo 17 Ast 10.0 Sk 2 Int,No,melvin-ingram-1
2011,Whitney Mercilus*,DL,Illinois,28 Solo 29 Ast 16.0 Sk,Yes,whitney-mercilus-1
2011,Devon Still*,DL,Penn State,29 Solo 26 Ast 4.5 Sk,No,devon-still-1
2011,Jerel Worthy*,DL,Michigan State,19 Solo 11 Ast 3.5 Sk 0 Int,No,jerel-worthy-1
2011,Dont'a Hightower*,LB,Alabama,40 Solo 45 Ast 4.0 Sk 1 Int,No,donta-hightower-1
2011,Jarvis Jones*,LB,Georgia,39 Solo 31 Ast 13.5 Sk 0 Int,No,jarvis-jones-1
