Year,Name,Position,School,Stats,Unaminous ,,ID
2020,Landon Dickerson*,C,Alabama,,Yes,,landon-dickerson-1
2020,Mac Jones*,QB,Alabama,311 Cmp 402 Att 4500 Yds 41 TD 4 Int,No,,mac-jones-1
2020,Breece Hall*,RB,Iowa State,279 Att 1572 Yds 5.6 Avg 21 TD,Yes,,breece-hall-1
2020,Najee Harris*,RB,Alabama,251 Att 1466 Yds 5.8 Avg 26 TD,Yes,,najee-harris-1
2020,Elijah Moore*,WR,Ole Miss,86 Rec 1193 Yds 13.9 Avg 8 TD,No,,elijah-moore-1
2020,DeVonta Smith*,WR,Alabama,117 Rec 1856 Yds 15.9 Avg 23 TD,Yes,,devonta-smith-1
2020,Kyle Pitts*,TE,Florida,43 Rec 770 Yds 17.9 Avg 12 TD,Yes,,kyle-pitts-1
2020,Brady Christensen*,OL,Brigham Young,,No,,brady-christensen-1
2020,Wyatt Davis*,OL,Ohio State,,Yes,,wyatt-davis-1
2020,Liam Eichenberg*,OL,Notre Dame,,No,,liam-eichenberg-1
2020,Kenyon Green*,OL,Texas A&M,,No,,kenyon-green-1
2020,Alex Leatherwood*,OL,Alabama,,Yes,,alex-leatherwood-1
2020,Jose Borregales*,K,Miami (FL),37 XPM 37 XPA 20 FGM 22 FGA 97 Pts,Yes,,jose-borregales-1
2020,Travis Etienne*,AP,Clemson,168 Att 914 Yds 5.4 Avg 14 TD,No,,travis-etienne-1
2020,Avery Williams,AP,Boise State,,No,,avery-williams-6
2020,Tarron Jackson*,DL,Coastal Carolina,25 Solo 29 Ast 8.5 Sk 0 Int,No,,tarron-jackson-1
2020,Patrick Jones II,DL,Pitt,23 Solo 21 Ast 9.0 Sk 0 Int,No,,patrick-jones-ii-1
2020,Daviyon Nixon,DL,Iowa,22 Solo 23 Ast 5.5 Sk 1 Int,Yes,,daviyon-nixon-1
2020,Darius Stills*,DL,West Virginia,12 Solo 13 Ast 3.5 Sk 1 Int,No,,darius-stills-1
2020,Rashad Weaver,DL,Pitt,19 Solo 16 Ast 7.5 Sk 0 Int,No,,rashad-weaver-1
2020,Zaven Collins*,LB,Tulsa,36 Solo 18 Ast 4.0 Sk 4 Int,Yes,,zaven-collins-1
2020,Joseph Ossai*,LB,Texas,26 Solo 29 Ast 5.0 Sk 0 Int,No,,joseph-ossai-1
2020,Jeremiah Owusu-Koramoah*,LB,Notre Dame,42 Solo 20 Ast 1.5 Sk 1 Int,Yes,,jeremiah-owusu-koramoah-1
2020,Talanoa Hufanga,DB,USC,40 Solo 22 Ast 3.0 Sk 4 Int,No,,talanoa-hufanga-1
2020,Brandon Joseph*,DB,Northwestern,28 Solo 24 Ast 0.0 Sk 6 Int,No,,brandon-joseph-2
2020,Patrick Surtain II*,DB,Alabama,22 Solo 16 Ast 0.0 Sk 1 Int,Yes,,patrick-surtain-ii-1
2020,Shaun Wade*,DB,Ohio State,24 Solo 11 Ast 0.0 Sk 2 Int,No,,shaun-wade-1
2020,Pressley Harvin III,P,Georgia Tech,45 Punts 2161 Yds 48.0 Avg,Yes,,pressley-harvin-iii-1
2021,Tyler Linderbaum*,C,Iowa,,Yes,,tyler-linderbaum-1
2021,Bryce Young*,QB,Alabama,366 Cmp 547 Att 4872 Yds 47 TD 7 Int,No,,bryce-young-1
2021,Breece Hall*,RB,Iowa State,253 Att 1464 Yds 5.8 Avg 20 TD,No,,breece-hall-1
2021,Kenneth Walker III*,RB,Michigan State,263 Att 1636 Yds 6.2 Avg 18 TD,Yes,,kenneth-walker-iii-1
2021,Jordan Addison*,WR,Pitt,100 Rec 1593 Yds 15.9 Avg 17 TD,No,,jordan-addison-1
2021,David Bell*,WR,Purdue,93 Rec 1286 Yds 13.8 Avg 6 TD,No,,david-bell-6
2021,Trey McBride,TE,Colorado State,90 Rec 1121 Yds 12.5 Avg 1 TD,Yes,,trey-mcbride-1
2021,Ikem Ekwonu,OL,North Carolina State,,Yes,,ikem-ekwonu-1
2021,Kenyon Green,OL,Texas A&M,,No,,kenyon-green-1
2021,Darian Kinnard*,OL,Kentucky,,No,,darian-kinnard-1
2021,Evan Neal*,OL,Alabama,,No,,evan-neal-1
2021,Jake Moody*,K,Michigan,56 XPM 56 XPA 23 FGM 25 FGA 125 Pts,No,,jake-moody-1
2021,Brian Battie,AP,South Florida,58 Att 324 Yds 5.6 Avg 1 TD,No,,brian-battie-1
2021,Deuce Vaughn*,AP,Kansas State,235 Att 1404 Yds 6.0 Avg 18 TD,No,,deuce-vaughn-1
2021,Marcus Jones*,AP,Houston,10 Rec 109 Yds 10.9 Avg 1 TD,No,,marcus-jones-11
2021,Jordan Davis*,DL,Georgia,17 Solo 15 Ast 2.0 Sk 0 Int,Yes,,jordan-davis-9
2021,Aidan Hutchinson*,DL,Michigan,36 Solo 26 Ast 14.0 Sk 0 Int,Yes,,aidan-hutchinson-1
2021,Demarvin Leal,DL,Texas A&M,27 Solo 30 Ast 8.5 Sk 0 Int,No,,demarvin-leal-1
2021,Kayvon Thibodeaux*,DL,Oregon,35 Solo 14 Ast 7.0 Sk 0 Int,Yes,,kayvon-thibodeaux-1
